CompanyCode,CampaignCode,polmst,SClass,covcod,Vehgrp,GarageCd,makdes,moddes,cstFlag,MinCST,MaxCST,MinYear,MaxYear,MinSI,MaxSI,DriverName,uom1_v,uom2_v,uom5_v,Seats41,mv411,mv412,mv413,mv414,mv42,mv43,Dedod,DedPD,prem_net_pd,prm_stpnew,prm_vatnew,prm_gapnew
TMSTH,C69/00109-3,796-00000001,110,3,2,,AUDI,A1,C,0,2000,1,99,0,0,No,500000,20000000,1000000,7,100000,100000,0,0,100000,200000,0,0,1861.16,8,130.84,2000
TMSTH,C69/00109-3,796-00000002,110,3,2,,AUDI,A1,C,2001,9999,1,99,0,0,No,500000,20000000,1000000,7,100000,100000,0,0,100000,200000,0,0,1861.16,8,130.84,2000
TMSTH,C69/00109-3,796-00000003,110,3,2,,AUDI,A3,C,0,2000,1,99,0,0,No,500000,20000000,1000000,7,100000,100000,0,0,100000,200000,0,0,1861.16,8,130.84,2000
TMSTH,C69/00109-3,796-00000004,110,3,2,,AUDI,A3,C,2001,9999,1,99,0,0,No,500000,20000000,1000000,7,100000,100000,0,0,100000,200000,0,0,1861.16,8,130.84,2000
TMSTH,C69/00109-3,796-00000005,110,3,2,,AUDI,A4,C,0,2000,1,99,0,0,No,500000,20000000,1000000,7,100000,100000,0,0,100000,200000,0,0,1861.16,8,130.84,2000
TMSTH,C69/00109-3,796-00000006,110,3,2,,AUDI,A4,C,2001,9999,1,99,0,0,No,500000,20000000,1000000,7,100000,100000,0,0,100000,200000,0,0,1861.16,8,130.84,2000
TMSTH,C69/00109-3,796-00000007,110,3,2,,AUDI,A5,C,0,2000,1,99,0,0,No,500000,20000000,1000000,7,100000,100000,0,0,100000,200000,0,0,1861.16,8,130.84,2000
TMSTH,C69/00109-3,796-00000008,110,3,2,,AUDI,A5,C,2001,9999,1,99,0,0,No,500000,20000000,1000000,7,100000,100000,0,0,100000,200000,0,0,1861.16,8,130.84,2000
TMSTH,C69/00109-3,796-00000009,110,3,2,,AUDI,A6,C,0,2000,1,99,0,0,No,500000,20000000,1000000,7,100000,100000,0,0,100000,200000,0,0,1861.16,8,130.84,2000
